1. Recounting Reconstruction (pull screen),,,,,,,,,,,
Lead Text,Spanish Translation ,Body Text (character max 470),Spanish Translation ,Status,,Notes,,,,,
"Report of School for Freedmen, June 1, 1866","Informe de la Escuela para Libertos, 1 de junio de 1866","This report shows that Smith initially focused on teaching her 28 students (19 girls and 9 boys) to spell, read, and write. ","Este informe muestra que Smith inicialmente se enfocó en enseñar a sus 28 estudiantes (19 niñas y 9 niños) a deletrear, leer y escribir.","Report of School for Freedmen, June 1, 1866 // Courtesy National Museum of African American History and Culture","Informe de la Escuela para Libertos, 1 de junio de 1866 // Cortesía del Museo Nacional de Historia y Cultura Afroamericana",Smith Artifact Image Link,Complete,,,,
6-b. Harriet Smith (New opportunities),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,New Opportunities image link,New Opportunities image caption (character max 160),Spanish Translation ,New Opportunities image tombstone ,Spanish Translation ,Status,Notes,
"Educational opportunities for Black Texans improved under Reconstruction. Harriet Smith, and others like her, made a difference by forming schools for Black education.","Las oportunidades educativas para los texanos negros mejoraron durante la Reconstrucción. Harriet Smith, y otras personas como ella, marcaron la diferencia al fundar escuelas para la educación de personas negras.","Texas State law prohibited enslaved people from learning to read or write. Enslavers feared that education would make the people they held captive difficult to control. After 1865, the Freedmen's Bureau led efforts to found schools for Black Texans. Bureau records show that 150 schools enrolled 9,086 Black students across the state by 1870.","La ley estatal de Texas prohibía a las personas esclavizadas aprender a leer o escribir. Los esclavizadores temían que la educación hiciera más difícil controlar a las personas que mantenían cautivas. Después de 1865, la Oficina de Libertos lideró los esfuerzos para fundar escuelas para los texanos negros. Los registros de la Oficina muestran que para 1870 había 150 escuelas que inscribían a 9,086 estudiantes negros en todo el estado.",Smith Opportunities Image Link,"Prairie View A&M (est. 1876) was the first state college for Black Texans. Many educators like Mr. Hogg, the teacher shown above, graduated from Prairie View. ","Prairie View A&M (fundada en 1876) fue la primera universidad estatal para texanos negros. Muchos educadores, como el Sr. Hogg (en la imagen), se graduaron de Prairie View.","African American School in Diboll, Texas, with teacher J. W. Hogg and students
// Courtesy The History Center","Escuela afroamericana en Diboll, Texas, con el maestro J. W. Hogg y sus estudiantes // Cortesía de The History Center",Complete,,
6-c. Harriet Smith (Challenges and dangers),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,Challenges and dangers image link,Challenges and dangers image caption (character max 160),Spanish Translation ,Challenges and dangers image tombstone ,Spanish Translation ,Status,Notes,
"Education opportunities for Black Texans improved after the Civil War, but white Texans still refused to see them as equal citizens. ","Las oportunidades educativas para los texanos negros mejoraron después de la Guerra Civil, pero los texanos blancos seguían negándose a verlos como ciudadanos iguales.",White legislators created laws called Black Codes to restrict Black Texans’ rights. These laws extended to education. Black schools were not able to access the state public school fund. Black students could not attend white institutions.These laws established segregated schools. Fewer resources were then allocated to schools serving Black students and those of Mexican descent.  ,"Los legisladores blancos crearon leyes conocidas como los Códigos Negros para restringir los derechos de los texanos negros. Estas leyes también afectaban la educación. Las escuelas negras no podían acceder al fondo estatal para escuelas públicas. Los estudiantes negros no podían asistir a instituciones para blancos. Estas leyes establecieron escuelas segregadas. En consecuencia, se asignaron menos recursos a las escuelas que atendían a estudiantes negros y de ascendencia mexicana.",Smith Challenges Image Link,Student in an Austin Freedom Community pose with their teacher.,Estudiantes de una comunidad de libertad en Austin posan con su maestro.,"Group of Black Students, 1870s //
Courtesy University of North Texas Libraries, The Portal to Texas History, crediting Austin History Center, Austin Public Library","Grupo de estudiantes negros, década de 1870
Imagen cortesía de las Bibliotecas de la Universidad del Norte de Texas, The Portal to Texas History, con crédito al Centro de Historia de Austin, Biblioteca Pública de Austin",Complete,,
7. Hope Thompson (Entrepreneurship),,,,,,,,,,,
Body Text (character max 495),Spanish Translation ,Illustration link,Status,Notes,,,,,,,
"Hope Thompson (ca. 1826–1895) was born enslaved in South Carolina before owning property and a laundry business in Dallas. Thompson washed laundry for clients from her home. This allowed her to support her family after her husband, Isaac, left her in 1872. Thompson negotiated a $50 loan from one of her clients, William Henry Gaston, to buy property on the corner of Live Oak and Elm in Dallas. Thompson repaid the debt by washing Gaston's clothes and continued to build her property investments. By 1885, Thompson's real estate was worth $35,000.","Hope Thompson (ca. 1826–1895) nació esclavizada en Carolina del Sur antes de convertirse en propietaria de bienes raíces y de un negocio de lavandería en Dallas. Thompson lavaba ropa para sus clientes desde su casa, lo que le permitió mantener a su familia después de que su esposo, Isaac, la dejara en 1872. Thompson negoció un préstamo de $50 con uno de sus clientes, William Henry Gaston, para comprar una propiedad en la esquina de Live Oak y Elm en Dallas. Pagó la deuda lavando la ropa de Gaston y continuó ampliando sus inversiones inmobiliarias. Para 1885, los bienes raíces de Thompson valían $35,000.",Link to illustration resources and reference images,Complete,,,,,,,,
7-a. Hope Thompson (artifact),,,,,,,,,,,
Lead text / artifact title,Spanish Translation ,Artifact image caption (character max 160),Spanish Translation ,Artifact image tombstone,Spanish Translation ,Artifact image link,Status,Notes,,,
"Dallas County Deed Index, vol. 53 p. 210, April 29, 1871","Índice de Escrituras del Condado de Dallas, vol. 53 pág. 210, 29 de abril de 1871",This entry recognizes Isaac and Hope Thompson’s joint purchase of land from W. L. and Lou Williams. The property remained in Hope’s possession as she continued to build her investments after Isaac left. ,"Esta entrada reconoce la compra conjunta de terreno por parte de Isaac y Hope Thompson a W. L. y Lou Williams. La propiedad permaneció en posesión de Hope, quien continuó desarrollando sus inversiones después de que Isaac se marchara.","Dallas County Deed Index, vol. 53 p. 210, April 29, 1871 // Courtesy Dallas County Records Department","Índice de Escrituras del Condado de Dallas, vol. 53 pág. 210, 29 de abril de 1871 // Cortesía del Departamento de Registros del Condado de Dallas",Thompson Artifact Link,Almost done,Looking for better quality image,,,
7-b. Hope Thompson (New opportunities),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,New Opportunities image link,New Opportunities image caption (character max 160),Spanish Translation ,New Opportunities image tombstone ,Spanish Translation ,Status,Notes,
Freedom brought Black Texans like Hope Thompson the opportunity to choose their profession and build wealth. ,La libertad brindó a los texanos negros como Hope Thompson la oportunidad de elegir su profesión y construir riqueza.,"The Texas Constitutional Convention of 1866 granted Black Texans the right to create contracts, sue, and hold property. Thompson exercised these rights when she established her own successful business. As the value of her property on Elm Street increased, Thompson faced many lawsuits over ownership. She won the final suit in 1884 and kept the title to her land.  ","La Convención Constitucional de Texas de 1866 otorgó a los texanos negros el derecho a firmar contratos, demandar y poseer propiedades. Thompson ejerció estos derechos al establecer su propio negocio exitoso. A medida que aumentaba el valor de su propiedad en la calle Elm, Thompson enfrentó múltiples demandas relacionadas con su propiedad. Ganó la última demanda en 1884 y conservó el título de su terreno.",Thompson Opportunities Image Link,"This photograph looks out on Elm Street, where Thompson owned several lots. Her property grew in value as the area developed into a bustling commercial center. ","Esta fotografía muestra la calle Elm, donde Thompson poseía varios lotes. Su propiedad aumentó de valor a medida que la zona se transformó en un animado centro comercial.","Elm Street, Dallas, Texas
Courtesy DeGolyer Library, Southern Methodist University","Calle Elm, Dallas, Texas
Cortesía de la Biblioteca DeGolyer, Universidad Metodista del Sur",Complete,,
7-c. Hope Thompson (Challenges and dangers),,,,,,,,,,,
Lead Text (character max 190),Spanish Translation ,Body Text (character max 455),Spanish Translation ,Challenges and dangers image link,Challenges and dangers image caption (character max 160),Spanish Translation ,Challenges and dangers image tombstone ,Spanish Translation ,Status,Notes,
"Even though Black Texans could choose professions, they were paid less than people of other races for their work.","Aunque los texanos negros podían elegir sus profesiones, recibían menos pago por su trabajo.","Thompson was successful, but many other Black laundry women were unfairly paid for tough labor. Wage discrimination served as a tool of oppression. But Black Texans created their own paths forward. In 1877, Black domestic workers in Galveston organized a strike to demand better wages. Washerwomen, cooks, and servants banded together to seek change. Their collective action was part of a growing labor movement in Texas. ","Mientras Thompson prosperaba, otras lavanderas negras eran injustamente mal remuneradas por su arduo trabajo. La discriminación salarial se utilizaba como una herramienta de opresión. Pero los texanos negros crearon sus propios caminos hacia adelante. En 1877, trabajadoras domésticas negras en Galveston organizaron una huelga para exigir mejores salarios. Lavanderas, cocineras y sirvientas se unieron para buscar un cambio. Su acción colectiva fue parte de un creciente movimiento obrero en Texas.",Thompson Challenges Image Link,Black women faced additional challenges in finding employment from compounding racial and gender discrimination. Washing clothes allowed them to make their own schedule while running the household and taking care of family.,Las mujeres negras enfrentaban desafíos adicionales para encontrar empleo debido a la discriminación combinada por raza y género. Lavar ropa les permitía organizar su propio horario mientras se ocupaban del hogar y cuidaban de la familia.,"African American woman doing laundry // 
Courtesy Library of Congress, Washington D.C.","Mujer afroamericana lavando ropa
Cortesía de la Biblioteca del Congreso, Washington, D.C.
",Complete,TIF file available here,
